id_group	title	uid_user	sex	age
27895931	Новинки Музыки 2017	4689	М	31
27895931	Новинки Музыки 2017	4731	М	31
27895931	Новинки Музыки 2017	4849	Ж	32
27895931	Новинки Музыки 2017	4862	М	28
27895931	Новинки Музыки 2017	5478	Ж	31
27895931	Новинки Музыки 2017	5572	Ж	28
27895931	Новинки Музыки 2017	5690	Ж	31
27895931	Новинки Музыки 2017	5997	М	30
27895931	Новинки Музыки 2017	6302	М	30
27895931	Новинки Музыки 2017	6616	Ж	32
27895931	Новинки Музыки 2017	6874	Ж	30
27895931	Новинки Музыки 2017	7099	М	32
27895931	Новинки Музыки 2017	7188	Ж	28
27895931	Новинки Музыки 2017	7247	М	30
27895931	Новинки Музыки 2017	7470	Ж	30
27895931	Новинки Музыки 2017	7487	М	30
27895931	Новинки Музыки 2017	7746	Ж	26
27895931	Новинки Музыки 2017	7982	Ж	23
27895931	Новинки Музыки 2017	7997	Ж	28
27895931	Новинки Музыки 2017	8158	Ж	28
27895931	Новинки Музыки 2017	8323	М	23
27895931	Новинки Музыки 2017	8386	Ж	32
27895931	Новинки Музыки 2017	8484	М	32
27895931	Новинки Музыки 2017	8505	Ж	31
27895931	Новинки Музыки 2017	8875	М	25
27895931	Новинки Музыки 2017	9059	М	31
27895931	Новинки Музыки 2017	9246	М	24
27895931	Новинки Музыки 2017	9360	Ж	28
27895931	Новинки Музыки 2017	9705	Ж	29
27895931	Новинки Музыки 2017	9720	М	28
27895931	Новинки Музыки 2017	9850	М	21
27895931	Новинки Музыки 2017	10151	Ж	30
27895931	Новинки Музыки 2017	10160	М	29
27895931	Новинки Музыки 2017	10324	М	33
27895931	Новинки Музыки 2017	10522	Ж	29
27895931	Новинки Музыки 2017	10570	Ж	21
27895931	Новинки Музыки 2017	10826	Ж	29
27895931	Новинки Музыки 2017	11129	Ж	30
27895931	Новинки Музыки 2017	11281	М	30
27895931	Новинки Музыки 2017	11316	Ж	24
27895931	Новинки Музыки 2017	11570	Ж	30
27895931	Новинки Музыки 2017	11732	Ж	31
27895931	Новинки Музыки 2017	11784	Ж	28
27895931	Новинки Музыки 2017	12031	Ж	28
27895931	Новинки Музыки 2017	12120	М	29
27895931	Новинки Музыки 2017	12337	Ж	29
27895931	Новинки Музыки 2017	12408	Ж	28
27895931	Новинки Музыки 2017	12423	М	29
27895931	Новинки Музыки 2017	13133	Ж	28
27895931	Новинки Музыки 2017	13264	Ж	37
27895931	Новинки Музыки 2017	13438	Ж	28
27895931	Новинки Музыки 2017	13716	М	102
27895931	Новинки Музыки 2017	14118	М	29
27895931	Новинки Музыки 2017	14180	Ж	30
27895931	Новинки Музыки 2017	14187	М	30
27895931	Новинки Музыки 2017	14353	М	27
27895931	Новинки Музыки 2017	14416	Ж	30
27895931	Новинки Музыки 2017	14569	Ж	28
27895931	Новинки Музыки 2017	14942	М	32
27895931	Новинки Музыки 2017	15011	Ж	28
27895931	Новинки Музыки 2017	15189	Ж	29
27895931	Новинки Музыки 2017	15470	Ж	29
27895931	Новинки Музыки 2017	15583	Ж	25
27895931	Новинки Музыки 2017	15846	М	30
27895931	Новинки Музыки 2017	15902	М	31
27895931	Новинки Музыки 2017	15968	М	28
27895931	Новинки Музыки 2017	15995	Ж	31
27895931	Новинки Музыки 2017	16273	Ж	30
27895931	Новинки Музыки 2017	16327	Ж	31
27895931	Новинки Музыки 2017	16452	М	38
27895931	Новинки Музыки 2017	16455	М	31
27895931	Новинки Музыки 2017	16560	М	31
27895931	Новинки Музыки 2017	16665	М	30
27895931	Новинки Музыки 2017	16827	М	28
27895931	Новинки Музыки 2017	16861	Ж	29
27895931	Новинки Музыки 2017	17021	Ж	33
27895931	Новинки Музыки 2017	17088	Ж	38
27895931	Новинки Музыки 2017	17142	Ж	28
27895931	Новинки Музыки 2017	17331	Ж	28
27895931	Новинки Музыки 2017	17699	М	31
27895931	Новинки Музыки 2017	17902	М	31
27895931	Новинки Музыки 2017	18088	М	33
27895931	Новинки Музыки 2017	18302	М	30
27895931	Новинки Музыки 2017	18387	Ж	32
27895931	Новинки Музыки 2017	18534	Ж	27
27895931	Новинки Музыки 2017	18549	Ж	28
27895931	Новинки Музыки 2017	18810	М	30
27895931	Новинки Музыки 2017	18859	Ж	29
27895931	Новинки Музыки 2017	18867	Ж	28
27895931	Новинки Музыки 2017	19208	Ж	28
27895931	Новинки Музыки 2017	19228	Ж	31
27895931	Новинки Музыки 2017	19451	М	33
27895931	Новинки Музыки 2017	19533	Ж	31
27895931	Новинки Музыки 2017	19629	Ж	38
27895931	Новинки Музыки 2017	19919	Ж	30
27895931	Новинки Музыки 2017	19969	М	30
27895931	Новинки Музыки 2017	20005	М	29
27895931	Новинки Музыки 2017	20213	М	28
27895931	Новинки Музыки 2017	20335	Ж	29
27895931	Новинки Музыки 2017	20661	Ж	28
27895931	Новинки Музыки 2017	20869	Ж	29
27895931	Новинки Музыки 2017	20895	М	29
27895931	Новинки Музыки 2017	20971	М	30
27895931	Новинки Музыки 2017	21046	Ж	28
27895931	Новинки Музыки 2017	21083	М	31
27895931	Новинки Музыки 2017	21185	М	30
27895931	Новинки Музыки 2017	21307	Ж	28
27895931	Новинки Музыки 2017	21974	М	28
27895931	Новинки Музыки 2017	22152	Ж	29
27895931	Новинки Музыки 2017	22241	Ж	28
27895931	Новинки Музыки 2017	22260	Ж	32
27895931	Новинки Музыки 2017	22261	Ж	29
27895931	Новинки Музыки 2017	22419	Ж	29
27895931	Новинки Музыки 2017	22558	Ж	28
27895931	Новинки Музыки 2017	23141	М	36
27895931	Новинки Музыки 2017	23165	Ж	29
27895931	Новинки Музыки 2017	23207	М	30
27895931	Новинки Музыки 2017	23252	М	32
27895931	Новинки Музыки 2017	23257	М	29
27895931	Новинки Музыки 2017	23525	М	33
27895931	Новинки Музыки 2017	23580	М	36
27895931	Новинки Музыки 2017	23701	Ж	30
27895931	Новинки Музыки 2017	24061	М	28
27895931	Новинки Музыки 2017	24673	Ж	34
27895931	Новинки Музыки 2017	24991	Ж	30
27895931	Новинки Музыки 2017	25136	М	30
27895931	Новинки Музыки 2017	25378	Ж	30
27895931	Новинки Музыки 2017	25422	Ж	29
27895931	Новинки Музыки 2017	25707	Ж	28
27895931	Новинки Музыки 2017	25852	Ж	39
27895931	Новинки Музыки 2017	25887	М	32
27895931	Новинки Музыки 2017	25937	Ж	30
27895931	Новинки Музыки 2017	26066	Ж	29
27895931	Новинки Музыки 2017	26147	М	32
27895931	Новинки Музыки 2017	26328	М	31
27895931	Новинки Музыки 2017	26625	М	30
27895931	Новинки Музыки 2017	26778	М	28
27895931	Новинки Музыки 2017	26780	Ж	29
27895931	Новинки Музыки 2017	26812	М	30
27895931	Новинки Музыки 2017	27004	Ж	30
27895931	Новинки Музыки 2017	27091	Ж	28
27895931	Новинки Музыки 2017	27452	М	30
27895931	Новинки Музыки 2017	27502	Ж	28
27895931	Новинки Музыки 2017	27643	М	29
27895931	Новинки Музыки 2017	27827	Ж	30
27895931	Новинки Музыки 2017	27921	Ж	31
